import time: self [us] | cumulative | imported package
import time:   1843238 |   12846794 |                 django.db.models.fields.files
import time:   1377820 |    1377820 |                 django.db.models.fields.generated
import time:   1425681 |    1425681 |                 django.db.models.fields.proxy
import time:   2293022 |    2293022 |                   django.db.models.query
import time:   1317194 |    3610216 |                 django.db.models.manager
import time:   1562495 |    1562495 |                     django.db.models.fields.related_descriptors
import time:   1428469 |    1428469 |                     django.db.models.fields.related_lookups
import time:   1354598 |    1354598 |                     django.db.models.fields.reverse_related
import time:   1463737 |    5809298 |                   django.db.models.fields.related
import time:   1627836 |    1627836 |                   django.db.models.options
import time:   1835637 |    9272770 |                 django.db.models.base
import time:   2224639 |  150451127 |               django.db.models
import time:   1857812 |  152308938 |             django.core.serializers.base
import time:   1381808 |  153690745 |           django.core.serializers
import time:   1415189 |    1415189 |           django.core.serializers.python
import time:   1582697 |  156688629 |         django.core.serializers.json
import time:   1938875 |  158639833 |       django.http.response
import time:   1947768 |  183255183 |     django.http
import time:   1428854 |    1428854 |     django.urls.exceptions
import time:   1439526 |    1439526 |       django.urls.converters
import time:   1272102 |    1272102 |       django.urls.utils
import time:   1552871 |    4264498 |     django.urls.resolvers
import time:   1325823 |  190274357 |   django.urls.base
import time:   1487714 |    1487714 |   django.urls.conf
import time:   2512930 |  194275001 | django.urls
import time:      2178 |       2178 |     logging.handlers
import time:      1656 |       1656 |     socketserver
import time:      4174 |       8006 |   logging.config
import time:      4275 |       4275 |           email._header_value_parser
import time:      1219 |       5493 |         email.headerregistry
import time:       874 |        874 |         email.contentmanager
import time:      1028 |       7393 |       email.policy
import time:       857 |        857 |       email.generator
import time:       499 |        499 |         email.mime
import time:       550 |       1048 |       email.mime.base
import time:       193 |        193 |         email.mime.nonmultipart
import time:       229 |        421 |       email.mime.message
import time:       198 |        198 |       email.mime.multipart
import time:       256 |        256 |       email.mime.text
import time:   1366515 |    1366515 |       django.core.mail.utils
import time:   1432332 |    2809018 |     django.core.mail.message
import time:   1426396 |    4235413 |   django.core.mail
import time:   1372378 |    5615797 | django.utils.log
import time:   1455221 |    1455221 |       django.template.response
import time:   1409981 |    1409981 |       django.utils.decorators
import time:   1408630 |    4273832 |     django.views.generic.base
import time:   1340083 |    1340083 |       django.views.generic.detail
import time:   1445739 |    1445739 |         django.core.paginator
import time:   1557439 |    3003178 |       django.views.generic.list
import time:   1390752 |    5734012 |     django.views.generic.dates
import time:   1473585 |    1473585 |     django.views.generic.edit
import time:   1478066 |   12959493 |   django.views.generic
import time:       122 |   12959615 | django.views.generic.base
import time:      1950 |       1950 |     dataclasses
import time:      2541 |       4490 |   pprint
import time:   1446366 |    1446366 |   django.utils.timesince
import time:   1720246 |    3171101 | django.template.defaultfilters
import time:   1544508 |    1544508 |   django.views.decorators
import time:   1487609 |    3032117 | django.views.decorators.csp
import time:   1272051 |    1272051 | django.views.decorators.debug
import time:   1405417 |    1405417 |   django.utils.lorem_ipsum
import time:   1659275 |    1659275 |   django.template.smartif
import time:   2404779 |    5469470 | django.template.defaulttags
import time:   1384954 |    1384954 | django.contrib.admin.decorators
import time:   1314811 |    1314811 |   django.contrib.admin.exceptions
import time:   1397652 |    1397652 |         django.contrib.messages.constants
import time:   1354647 |    1354647 |         django.contrib.messages.storage
import time:   1358584 |    4110881 |       django.contrib.messages.api
import time:   1399041 |    1399041 |         django.contrib.messages.utils
import time:   1393306 |    2792346 |       django.contrib.messages.storage.base
import time:   1497972 |    8401198 |     django.contrib.messages
import time:   1471047 |    1471047 |             django.middleware
import time:   1356877 |    1356877 |             django.utils.cache
import time:   1421827 |    4249751 |           django.middleware.csrf
import time:   1467257 |    1467257 |           django.contrib.auth.signals
import time:   1393703 |    7110710 |         django.contrib.auth
import time:   1423682 |    1423682 |           django.contrib.auth.templatetags
import time:   1466542 |    1466542 |           django.contrib.auth.hashers
import time:   1382356 |    4272580 |         django.contrib.auth.templatetags.auth
import time:   1390019 |   12773308 |       django.contrib.admin.utils
import time:   1398303 |   14171610 |     django.contrib.admin.helpers
import time:   1614878 |    1614878 |     django.contrib.admin.widgets
import time:   2129971 |    2129971 |     django.contrib.admin.checks
import time:   1402709 |    1402709 |       django.contrib.admin.templatetags
import time:   1649851 |    3052559 |     django.contrib.admin.templatetags.admin_urls
import time:   1376435 |    1376435 |     django.views.decorators.csrf
import time:   1420788 |   32167436 |   django.contrib.admin.options
import time:   1803058 |   35285305 | django.contrib.admin.filters
import time:   1438085 |    1438085 |   django.contrib.admin.actions
import time:   1448112 |    1448112 |     django.contrib.admin.views
import time:   1492664 |    2940775 |   django.contrib.admin.views.autocomplete
import time:   1404060 |    1404060 |     django.shortcuts
import time:   1310381 |    2714440 |   django.contrib.auth.decorators
import time:   1459546 |    1459546 |     django.middleware.cache
import time:   1487902 |    2947448 |   django.views.decorators.cache
import time:   1395040 |    1395040 |   django.views.decorators.common
import time:   1472023 |    1472023 |   django.views.i18n
import time:   1386859 |   14294667 | django.contrib.admin.sites
import time:      1544 |       1544 |     getpass
import time:   1979107 |    1979107 |       django.contrib.contenttypes
import time:   2235743 |    2235743 |           django.db.migrations.utils
import time:   2099085 |    2099085 |           django.db.migrations.exceptions
import time:   2854444 |    7189270 |         django.db.migrations.migration
import time:   1897394 |    1897394 |             django.utils.copy
import time:   2040012 |    2040012 |             django.db.migrations.operations.base
import time:   1786478 |    5723883 |           django.db.migrations.operations.fields
import time:   1845714 |    1845714 |             django.db.migrations.state
import time:   1634744 |    3480458 |           django.db.migrations.operations.models
import time:   1578083 |    1578083 |           django.db.migrations.operations.special
import time:   2065149 |   12847571 |         django.db.migrations.operations
import time:   2942675 |   22979515 |       django.db.migrations
import time:   1886188 |   26844809 |     django.contrib.contenttypes.management
import time:   1657209 |   28503561 |   django.contrib.auth.management
import time:   1714852 |   30218412 | django.contrib.auth.checks
import time:   1502612 |    1502612 | django.contrib.contenttypes.checks
import time:   1581185 |    1581185 |     django.contrib.staticfiles.utils
import time:   1776230 |    3357414 |   django.contrib.staticfiles.finders
import time:   1363844 |    4721258 | django.contrib.staticfiles.checks
import time:      1277 |       1277 | __future__
import time:   1443381 |    1443381 |     corsheaders.defaults
import time:   1535260 |    2978641 |   corsheaders.conf
import time:   1542409 |    4521049 | corsheaders.checks
import time:   1426670 |    1426670 | django.contrib.contenttypes.models
import time:   2210271 |    2210271 |   django.contrib.auth.password_validation
import time:     13910 |      13910 |       _sqlite3
import time:      2137 |      16047 |     sqlite3.dbapi2
import time:      5842 |      21889 |   sqlite3
import time:   1376983 |    1376983 |     django.db.backends.base
import time:   1524024 |    1524024 |     django.db.backends.base.validation
import time:   1474225 |    1474225 |     django.db.backends.signals
import time:   1506938 |    1506938 |     django.utils.asyncio
import time:   1468264 |    7350431 |   django.db.backends.base.base
import time:      2881 |       2881 |       fractions
import time:      2321 |       2321 |       _statistics
import time:      8731 |      13932 |     statistics
import time:   1454234 |    1468165 |   django.db.backends.sqlite3._functions
import time:   1561608 |    1561608 |     django.db.backends.base.client
import time:   1424920 |    2986528 |   django.db.backends.sqlite3.client
import time:      2673 |       2673 |         multiprocessing.process
import time:      1356 |       1356 |         multiprocessing.reduction
import time:      2363 |       6391 |       multiprocessing.context
import time:       620 |       7011 |     multiprocessing
import time:   1395178 |    1395178 |     django.db.backends.base.creation
import time:   1388020 |    2790208 |   django.db.backends.sqlite3.creation
import time:   1783548 |    1783548 |     django.db.backends.base.features
import time:   1413871 |    3197419 |   django.db.backends.sqlite3.features
import time:   1342153 |    1342153 |         sqlparse.tokens
import time:   1491924 |    1491924 |         sqlparse.utils
import time:   1907570 |    4741646 |       sqlparse.sql
import time:   1346302 |    1346302 |         sqlparse.exceptions
import time:   1510560 |    2856861 |       sqlparse.cli
import time:   1403819 |    1403819 |         sqlparse.engine.grouping
import time:   1541462 |    1541462 |             sqlparse.keywords
import time:   1360536 |    2901998 |           sqlparse.lexer
import time:   1456294 |    1456294 |           sqlparse.engine.statement_splitter
import time:   1394320 |    1394320 |             sqlparse.filters.others
import time:   1396839 |    1396839 |             sqlparse.filters.output
import time:   1386916 |    1386916 |             sqlparse.filters.tokens
import time:   1432980 |    1432980 |             sqlparse.filters.reindent
import time:   1379627 |    1379627 |             sqlparse.filters.right_margin
import time:   1482019 |    1482019 |             sqlparse.filters.aligned_indent
import time:   1417146 |    9889844 |           sqlparse.filters
import time:   1372083 |   15620216 |         sqlparse.engine.filter_stack
import time:   1374477 |   18398511 |       sqlparse.engine
import time:   1459512 |    1459512 |       sqlparse.formatter
import time:   2363907 |   29820436 |     sqlparse
import time:   1427276 |    1427276 |     django.db.backends.base.introspection
import time:   1578099 |   32825810 |   django.db.backends.sqlite3.introspection
import time:   1550575 |    1550575 |     django.db.backends.base.operations
import time:   1434026 |    2984600 |   django.db.backends.sqlite3.operations
import time:   1446158 |    1446158 |       django.db.backends.ddl_references
import time:   1554866 |    3001024 |     django.db.backends.base.schema
import time:   1581790 |    4582813 |   django.db.backends.sqlite3.schema
